# icons/classification.txt
# Generated 2026-08-23 -- IATA/ICAO code -> airline classification for icons/*_logo.gif
# Purpose: avoid re-researching airline status/continent from scratch on future icon-library cleanups.
# Columns are tab-separated (safe to load with csv.reader(f, delimiter='	') or awk -F'	').
#
# folder      = subfolder under icons/ this code currently lives in
# status      = active | defunct | state (military/government callsign, not a commercial airline) | unknown (unidentified code)
# continent   = asia | europe | americas | africa_me | oceania | global (major long-haul carriers kept everywhere)
# sg_relevant = true if SG-based, serves Changi, or a major long-haul carrier likely overhead Singapore
#
code	folder   	status 	continent	sg_relevant	name                                                               	note
e6	europe	active	europe	false	Eurowings Europe Limited	Malta-based subsidiary of Lufthansa Group / Eurowings
ea	defunct	defunct	americas	false	Eastern Airlines (revived brand)	Revived-brand carrier that ceased operations again ~2020
eb	global	active	europe	false	Wamos Air	Spanish charter carrier
ec	europe	active	europe	false	easyJet Europe	Austrian-registered European subsidiary of easyJet
eh	asia	active	asia	false	ANA Wings	ANA regional subsidiary
ei	global	active	europe	false	Aer Lingus	
ek	global	active	global	true	Emirates	
en	europe	active	europe	false	Air Dolomiti	Lufthansa regional (Italy)
es	defunct	defunct	europe	false	Estonian Air	Ceased operations 2015
et	global	active	global	true	Ethiopian Airlines	Serves Singapore
ew	europe	active	europe	false	Eurowings	
ey	global	active	global	true	Etihad Airways	
f8	americas	active	americas	false	Flair Airlines	Canadian LCC
f9	americas	active	americas	false	Frontier Airlines	
fc	americas	active	americas	false	Pacific Coastal Airlines	Canadian regional
fd	asia	active	asia	true	Thai AirAsia	
fi	global	active	europe	false	Icelandair	
fj	global	active	oceania	true	Fiji Airways	Flies Singapore-Nadi route
fr	europe	active	europe	false	Ryanair	
fx	global	active	americas	true	FedEx Express	Global cargo, Asia/SG presence
fz	global	active	africa_me	false	flydubai	No direct Singapore route currently
g3	americas	active	americas	false	Gol Linhas Aereas	
g4	americas	active	americas	false	Allegiant Air	
g7	americas	active	americas	false	GoJet Airlines	US regional
g9	global	active	africa_me	false	Air Arabia	UAE LCC
ga	global	active	asia	true	Garuda Indonesia	
gaf	europe	state	europe	false	German Air Force (Luftwaffe)	Military callsign GAF / GERMAN AIR FORCE
gb	global	active	americas	false	ABX Air	US cargo, mostly domestic
gf	global	active	africa_me	true	Gulf Air	Serves Singapore
gk	asia	active	asia	false	Jetstar Japan	
gl	global	active	europe	false	Air Greenland	
gu	defunct	defunct	americas	false	Aviateca	Guatemalan brand retired, absorbed into Avianca
ha	global	active	americas	false	Hawaiian Airlines	
hb	asia	active	asia	false	Greater Bay Airlines	Newer Hong Kong carrier, regional focus
hd	asia	active	asia	false	Air Do	Japan domestic
hk	asia	active	asia	false	Yangon Airways	Myanmar domestic airline
ho	global	active	asia	false	Juneyao Airlines	Chinese carrier; SG route unconfirmed
hu	global	active	asia	true	Hainan Airlines	
hv	europe	active	europe	false	Transavia	
hx	asia	active	asia	true	Hong Kong Airlines	
hy	global	active	asia	false	Uzbekistan Airways	
i2	europe	active	europe	false	Iberia Express	
ib	global	active	europe	false	Iberia	
id	asia	active	asia	true	Batik Air	Indonesian carrier serving Singapore
ir	global	active	africa_me	false	Iran Air	
it	defunct	defunct	asia	false	Kingfisher Airlines	Ceased operations 2012
iw	asia	active	asia	false	Wings Air	Indonesian regional (Lion Group)
j2	global	active	europe	false	Azerbaijan Airlines	
j4	africa_me	active	africa_me	false	Badr Airlines	Sudanese airline based in Khartoum
j9	global	active	africa_me	false	Jazeera Airways	Kuwait LCC
jc	asia	active	asia	false	Japan Air Commuter	JAL regional subsidiary
jj	global	active	americas	false	LATAM Brasil	Formerly TAM
jl	global	active	asia	true	Japan Airlines	
jm	defunct	defunct	americas	false	Air Jamaica	Absorbed into Caribbean Airlines 2015
jo	defunct	defunct	oceania	false	JetGo Australia	Ceased operations 2019
jq	global	active	oceania	true	Jetstar Airways	Serves Singapore
jt	asia	active	asia	true	Lion Air	
ju	global	active	europe	false	Air Serbia	
jx	global	active	asia	true	Starlux Airlines	Taiwanese carrier serving Singapore
k4	global	active	americas	true	Kalitta Air	Global cargo/charter
kc	global	active	asia	false	Air Astana	Kazakhstan
kda	defunct	defunct	oceania	false	Kendell Airlines	Australian regional carrier, ceased operations 2005
ke	global	active	asia	true	Korean Air	
ki	defunct	defunct	asia	false	Adam Air	Indonesian low-cost carrier, ceased operations 2008
kl	global	active	europe	true	KLM	Serves Singapore
kn	asia	active	asia	false	China United Airlines	
kq	global	active	africa_me	false	Kenya Airways	
kt	asia	active	asia	true	AirAsia Cambodia	Cambodian LCC subsidiary of Capital A / AirAsia Group
ku	global	active	africa_me	false	Kuwait Airways	
l3	americas	active	americas	false	DHL de Guatemala	Guatemalan cargo airline operating for DHL Aviation
la	global	active	americas	false	LATAM Airlines	
lg	europe	active	europe	false	Luxair	
lh	global	active	europe	true	Lufthansa	Serves Singapore
lj	asia	active	asia	false	Jin Air	Korean LCC, SG route unconfirmed
ll	defunct	defunct	americas	false	Miami Air International	Charter carrier, ceased operations 2020
lm	europe	active	europe	false	Loganair	UK regional
lo	global	active	europe	false	LOT Polish Airlines	
lp	global	active	americas	false	LATAM Peru	
lr	americas	active	americas	false	Avianca Costa Rica (LACSA)	
ls	europe	active	europe	false	Jet2.com	
lu	americas	active	americas	false	LATAM Express	Chilean domestic & regional subsidiary of LATAM Airlines
lx	global	active	europe	true	Swiss International Air Lines	Serves Singapore
ly	global	active	africa_me	false	El Al	
me	global	active	africa_me	false	Middle East Airlines	Lebanon
mf	global	active	asia	true	Xiamen Airlines	
mh	global	active	asia	true	Malaysia Airlines	
mi	defunct	defunct	asia	false	SilkAir	Merged into Singapore Airlines 2021, brand retired
mk	global	active	africa_me	false	Air Mauritius	
mm	asia	active	asia	false	Peach Aviation	Japan LCC
mp	defunct	defunct	europe	false	Martinair	Passenger ops ceased 2011; cargo brand absorbed into KLM Cargo
mq	americas	active	americas	false	Envoy Air	American Eagle regional
ms	global	active	africa_me	false	EgyptAir	
mu	global	active	asia	true	China Eastern Airlines	
mx	americas	active	americas	false	Mexicana (revived)	Relaunched 2023-2024 as state-owned carrier after 2010 bankruptcy
mzn	global	active	americas	true	Amazon Air	US cargo airline network operating for Amazon Prime Air (ICAO: MZN / AMAZON)
n0	global	active	europe	false	Norse Atlantic Airways	Norwegian transatlantic long-haul low-cost carrier
n3	americas	active	americas	false	Volaris El Salvador	Salvadoran ultra-low-cost subsidiary of Volaris
n6	defunct	defunct	americas	false	Nuevo Continente (Aero Continente)	Peruvian airline, ceased operations
n8	global	active	americas	true	National Airlines	US passenger & cargo airline operating 747/757 fleet worldwide
nc	americas	active	americas	false	Northern Air Cargo	Alaska-based cargo
nh	global	active	asia	true	All Nippon Airways	
nk	americas	active	americas	false	Spirit Airlines	
nu	asia	active	asia	false	Japan Transocean Air	JAL regional, Okinawa
nw	defunct	defunct	americas	false	Northwest Airlines	Merged into Delta 2010
nz	global	active	oceania	true	Air New Zealand	Serves Singapore
o6	defunct	defunct	americas	false	Avianca Brasil	Ceased operations 2019
od	defunct	defunct	asia	false	Malindo Air	Rebranded to Batik Air Malaysia 2022, old brand retired
oh	americas	active	americas	false	PSA Airlines	American Eagle regional
ok	defunct	defunct	europe	false	Czech Airlines	Ceased independent operations Oct 26 2024, absorbed into Smartwings
oo	americas	active	americas	false	SkyWest Airlines	
or	global	active	europe	false	TUI fly Netherlands	
os	global	active	europe	false	Austrian Airlines	
ou	europe	active	europe	false	Croatia Airlines	
ow	africa_me	active	africa_me	false	Skyward Express	Kenyan domestic & regional passenger airline based in Nairobi
oy	global	active	americas	true	Omni Air International	US charter, flies global/military charter routes including Asia
oz	global	active	asia	true	Asiana Airlines	
p9	defunct	defunct	americas	false	Peruvian Airlines	Peruvian carrier, ceased operations 2019
pa	defunct	defunct	americas	false	Pan Am	Original carrier ceased 1991; code has seen minor unrelated revivals
pb	americas	active	americas	false	PAL Airlines	Canadian regional (formerly Provincial Airlines)
pc	global	active	europe	false	Pegasus Airlines	Turkey
pd	americas	active	americas	false	Porter Airlines	
pg	asia	active	asia	true	Bangkok Airways	
ph	defunct	defunct	oceania	false	Polynesian Airlines	Samoan state airline, rebranded to Samoa Airways
pk	global	active	asia	false	Pakistan International Airlines	No current Singapore service
po	global	active	americas	true	Polar Air Cargo	US cargo, Asia routes
pr	global	active	asia	true	Philippine Airlines	
ps	europe	active	europe	false	Ukraine International Airlines	Operations suspended since Feb 2022 due to war; airline entity not formally defunct
pt	americas	active	americas	false	Piedmont Airlines	American Eagle regional
pu	defunct	defunct	americas	false	PLUNA	Uruguayan carrier, ceased operations 2012
px	global	active	oceania	true	Air Niugini	Flies Port Moresby-Singapore route
pz	americas	active	americas	false	LATAM Paraguay	
q6	americas	active	americas	false	Volaris Costa Rica	Costa Rican ultra-low-cost subsidiary of Volaris
qf	global	active	oceania	true	Qantas	Serves Singapore
qk	americas	active	americas	false	Jazz Aviation	Air Canada Express
qp	asia	active	asia	true	Akasa Air	Major Indian low-cost carrier, rapidly expanding international network
qq	oceania	active	oceania	false	Alliance Airlines	Major Australian regional & charter airline operating Fokker/Embraer fleet
qr	global	active	global	true	Qatar Airways	
qt	global	active	americas	false	Tampa Cargo	Colombian cargo (Avianca Cargo)
qx	americas	active	americas	false	Horizon Air	
qy	global	active	europe	true	European Air Transport Leipzig (DHL)	DHL cargo network
qz	global	active	asia	true	Indonesia AirAsia	
rch	americas	state	americas	false	US Air Force Air Mobility Command	Military transport callsign RCH / REACH
rfds	oceania	state	oceania	false	Royal Flying Doctor Service	Australian emergency aeromedical & primary health service
rh	global	active	asia	true	Hong Kong Air Cargo	Major Hong Kong-based all-cargo carrier flying intercontinental routes
rj	global	active	africa_me	false	Royal Jordanian	
rk	europe	active	europe	false	Ryanair UK	UK-based operating subsidiary of Ryanair
ro	europe	active	europe	false	TAROM	Romania
rr	europe	state	europe	false	Royal Air Force (RAF)	UK Royal Air Force military air transport callsign ASCOT
rrr	europe	state	europe	false	Royal Air Force (RAF)	UK Royal Air Force military air transport callsign ASCOT
s4	global	active	europe	false	Azores Airlines (SATA)	
s7	global	active	europe	false	S7 Airlines	Russia, limited international reach post-2022
s8	oceania	active	oceania	false	Sounds Air	New Zealand regional airline connecting North and South Islands
sa	global	active	africa_me	false	South African Airways	Restructured after 2020 business rescue, operating limited network
sb	global	active	oceania	false	Aircalin (Air Caledonie International)	
sg	asia	active	asia	false	SpiceJet	Financially strained but operating scheduled flights as of 2026
sh	oceania	active	oceania	false	Sharp Airlines	Small Australian regional
sk	global	active	europe	false	SAS Scandinavian Airlines	No confirmed current direct Singapore route
sl	asia	active	asia	false	Thai Lion Air	
sn	global	active	europe	false	Brussels Airlines	
sq	global	active	asia	true	Singapore Airlines	Home carrier
ss	global	active	europe	false	Corsair International	
su	global	active	europe	false	Aeroflot	Sanctioned/limited international reach since 2022
sv	global	active	africa_me	true	Saudia	Serves Singapore
sy	americas	active	americas	false	Sun Country Airlines	
ta	defunct	defunct	americas	false	TACA (Avianca Central America)	Brand retired, merged into Avianca ~2013
tb	global	active	europe	false	TUI fly Belgium	
tfx	oceania	active	oceania	false	Team Global Express (Toll Aviation)	Australian freight airline & logistics operator (ICAO: TFX / TEAM AIR)
tg	global	active	asia	true	Thai Airways	
tk	global	active	global	true	Turkish Airlines	Serves Singapore
tl	oceania	active	oceania	false	Airnorth	Australian regional
tn	global	active	oceania	false	Air Tahiti Nui	
to	europe	active	europe	false	Transavia France	
tp	global	active	europe	false	TAP Air Portugal	
tr	global	active	asia	true	Scoot	Singapore-based, SIA subsidiary
ts	global	active	americas	false	Air Transat	
tw	global	active	asia	false	T'way Air	Korean LCC, SG route unconfirmed
u2	europe	active	europe	false	easyJet	
ua	global	active	americas	true	United Airlines	Flies SFO-SIN route
uc	global	active	americas	false	LATAM Cargo Chile	Major South American cargo airline operating 767s across Americas & Europe
uk	defunct	defunct	asia	false	Vistara	Merged into Air India Nov 2024, brand retired
ul	global	active	asia	true	SriLankan Airlines	
uo	asia	active	asia	false	Hong Kong Express	Regional LCC, SG route unconfirmed
ups	global	active	americas	true	UPS Airlines (alt code entry)	Duplicate/alt entry for UPS Airlines, see 5x
us	defunct	defunct	americas	false	US Airways	Merged into American Airlines 2015
ut	europe	active	europe	false	UTair Aviation	Russia, limited international reach
ux	global	active	europe	false	Air Europa	
v7	europe	active	europe	false	Volotea	
va	global	active	oceania	false	Virgin Australia	No confirmed current direct Singapore route
vj	global	active	asia	true	VietJet Air	
vl	europe	active	europe	false	Lufthansa City Airlines	German feeder airline subsidiary in Lufthansa Group (LHX)
vn	global	active	asia	true	Vietnam Airlines	
vo	defunct	defunct	europe	false	Tyrolean Airways	Merged into Austrian Airlines brand
vs	global	active	europe	false	Virgin Atlantic	No current direct Singapore route
vw	defunct	defunct	americas	false	Aeromar	Mexican regional carrier, ceased operations February 2023
vy	europe	active	europe	false	Vueling	
vz	asia	active	asia	false	Thai Vietjet Air	
w4	global	active	africa_me	false	Wizz Air Abu Dhabi	
w6	global	active	europe	false	Wizz Air	
w8	global	active	americas	false	Cargojet Airways	Canadian cargo
w9	europe	active	europe	false	Wizz Air UK	
wa	europe	active	europe	false	KLM Cityhopper	
wg	defunct	defunct	americas	false	Sunwing Airlines	Ceased operations 2024, merged into WestJet
wgn	global	active	americas	true	Western Global Airlines	US cargo/charter operator (747 fleet), IATA code KD, ICAO/callsign WGN
wk	global	active	europe	false	Edelweiss Air	Switzerland
wn	americas	active	americas	false	Southwest Airlines	
wr	americas	active	americas	false	WestJet Encore	
ws	global	active	americas	false	WestJet	
wy	global	active	africa_me	true	Oman Air	Serves Singapore
x3	global	active	europe	false	TUIfly Germany	
xe	defunct	defunct	americas	false	ExpressJet	Ceased operations 2022
xj	global	active	asia	true	Thai AirAsia X	
xk	europe	active	europe	false	CCM Airlines	Corse, France - small regional
xl	americas	active	americas	false	LATAM Ecuador	Note: XL Airways France (unrelated, defunct 2019) also historically used similar branding
xm	global	active	europe	false	Zimex Aviation	Swiss charter, utility and cargo airline operating worldwide
xp	americas	active	americas	false	Avelo Airlines	US ultra-low-cost airline based in Houston/Burbank/New Haven
xq	europe	active	europe	false	SunExpress	Turkey
y4	americas	active	americas	false	Volaris	Mexico
yp	global	active	asia	true	Air Premia	Korean long-haul LCC, flies to Singapore
yw	europe	active	europe	false	Air Nostrum	Spain regional, Iberia Regional
yx	americas	active	americas	false	Republic Airways	US regional
z0	global	active	europe	false	Norse Atlantic UK	UK-based transatlantic low-cost carrier operating out of London Gatwick
z2	defunct	defunct	asia	false	Zest Air (legacy code)	Legacy Zest Air code, superseded by 2P (Philippines AirAsia)
zh	global	active	asia	true	Shenzhen Airlines	
zl	oceania	active	oceania	false	Regional Express (Rex Airlines)	Entered voluntary administration Jul 2024; regional flights continued; acquired by Air T, exiting administration ~Dec 2025
